Sex,Marital status,Age,Education,Income,Occupation,Settlement size
Male,single,40,high school,107125,skilled employee/official,small city
Male,non-sngle,32,high school,80080,unemployed/unskilled,small city
Male,non-sngle,28,high school,129600,skilled employee/official,small city
female,non-sngle,27,high school,118613,skilled employee/official,mid-sized city
Male,single,42,high school,146237,skilled employee/official,mid-sized city
Male,non-sngle,49,university,144461,skilled employee/official,big city
Male,single,38,high school,124487,skilled employee/official,small city
female,non-sngle,24,high school,97826,skilled employee/official,small city
Male,single,27,other/unknown,64105,unemployed/unskilled,small city
Male,single,36,high school,156374,skilled employee/official,big city
Male,single,34,high school,205383,management/highly qualified employee,big city
Male,non-sngle,28,high school,98964,skilled employee/official,big city
Male,single,45,high school,221842,management/highly qualified employee,big city
Male,single,26,other/unknown,88027,skilled employee/official,big city
Male,single,32,other/unknown,160513,management/highly qualified employee,big city
Male,single,26,other/unknown,124536,skilled employee/official,big city
Male,non-sngle,20,high school,93634,skilled employee/official,small city
Male,single,54,high school,124725,skilled employee/official,small city
female,non-sngle,37,high school,102456,skilled employee/official,small city
Male,single,40,high school,74975,unemployed/unskilled,small city
female,non-sngle,23,high school,153861,skilled employee/official,mid-sized city
Male,single,43,high school,119351,skilled employee/official,big city
Male,single,36,high school,95438,skilled employee/official,big city
Male,single,44,high school,147967,skilled employee/official,big city
female,non-sngle,24,high school,116863,skilled employee/official,mid-sized city
Male,single,53,high school,170622,skilled employee/official,mid-sized city
female,non-sngle,23,high school,132426,skilled employee/official,mid-sized city
female,non-sngle,26,high school,77519,unemployed/unskilled,small city
Male,single,30,other/unknown,169405,skilled employee/official,big city
female,non-sngle,31,high school,120030,skilled employee/official,small city
Male,single,42,high school,77933,unemployed/unskilled,small city
Male,non-sngle,31,high school,109892,skilled employee/official,mid-sized city
Male,single,41,high school,69062,unemployed/unskilled,small city
Male,single,32,other/unknown,116348,skilled employee/official,small city
female,non-sngle,28,high school,137188,skilled employee/official,mid-sized city
Male,non-sngle,41,high school,110199,skilled employee/official,small city
Male,non-sngle,26,high school,109890,skilled employee/official,mid-sized city
Male,single,25,other/unknown,109751,skilled employee/official,big city
Male,non-sngle,33,high school,129651,skilled employee/official,mid-sized city
female,non-sngle,75,graduate school,170113,management/highly qualified employee,mid-sized city
female,non-sngle,37,high school,140285,skilled employee/official,mid-sized city
Male,single,42,high school,198029,management/highly qualified employee,big city
female,non-sngle,45,university,120262,unemployed/unskilled,small city
Male,non-sngle,23,high school,105137,skilled employee/official,mid-sized city
Male,single,60,university,127371,skilled employee/official,small city
Male,single,31,other/unknown,145689,skilled employee/official,small city
Male,single,34,high school,102617,unemployed/unskilled,mid-sized city
Male,single,61,university,90709,unemployed/unskilled,small city
Male,single,43,high school,107099,skilled employee/official,mid-sized city
female,non-sngle,37,high school,116021,skilled employee/official,big city
Male,single,32,other/unknown,100426,skilled employee/official,big city
female,non-sngle,24,high school,62249,unemployed/unskilled,small city
Male,single,35,high school,172957,skilled employee/official,mid-sized city
female,non-sngle,23,high school,95003,skilled employee/official,mid-sized city
Male,single,45,high school,109698,unemployed/unskilled,small city
Male,non-sngle,34,high school,157376,skilled employee/official,small city
Male,single,27,other/unknown,123191,skilled employee/official,big city
female,non-sngle,67,graduate school,171052,management/highly qualified employee,small city
Male,single,22,other/unknown,99328,skilled employee/official,small city
female,non-sngle,28,high school,133799,skilled employee/official,big city
female,non-sngle,29,high school,138256,skilled employee/official,big city
Male,single,27,other/unknown,115638,skilled employee/official,small city
Male,single,31,other/unknown,82238,unemployed/unskilled,small city
Male,single,49,high school,127543,skilled employee/official,mid-sized city
Male,single,24,other/unknown,63987,unemployed/unskilled,small city
female,non-sngle,29,high school,114784,skilled employee/official,small city
Male,single,37,high school,217450,skilled employee/official,mid-sized city
Male,single,37,high school,173751,management/highly qualified employee,big city
female,non-sngle,23,high school,122850,skilled employee/official,small city
Male,non-sngle,36,high school,104953,skilled employee/official,small city
Male,single,34,high school,152371,skilled employee/official,mid-sized city
Male,single,41,high school,139905,skilled employee/official,small city
female,non-sngle,31,high school,156700,skilled employee/official,mid-sized city
female,non-sngle,23,high school,86488,unemployed/unskilled,small city
Male,single,38,high school,147472,skilled employee/official,small city
female,non-sngle,26,high school,169991,management/highly qualified employee,small city
female,non-sngle,22,high school,62381,unemployed/unskilled,small city
Male,single,27,other/unknown,70926,unemployed/unskilled,small city
female,non-sngle,24,high school,113004,skilled employee/official,mid-sized city
female,non-sngle,27,high school,125760,skilled employee/official,small city
female,non-sngle,33,high school,111918,skilled employee/official,big city
Male,non-sngle,27,high school,120674,skilled employee/official,mid-sized city
Male,non-sngle,27,high school,63597,unemployed/unskilled,small city
Male,single,30,other/unknown,103069,skilled employee/official,mid-sized city
Male,single,49,high school,108079,unemployed/unskilled,small city
female,non-sngle,26,high school,101159,skilled employee/official,mid-sized city
Male,single,33,high school,88211,unemployed/unskilled,small city
female,non-sngle,52,university,159052,management/highly qualified employee,mid-sized city
female,non-sngle,20,high school,102623,skilled employee/official,big city
Male,single,36,high school,115589,skilled employee/official,small city
Male,single,21,other/unknown,59127,unemployed/unskilled,small city
Male,non-sngle,47,university,82240,unemployed/unskilled,small city
Male,single,60,university,129425,skilled employee/official,mid-sized city
female,non-sngle,58,university,87058,unemployed/unskilled,small city
female,non-sngle,42,university,128462,skilled employee/official,big city
female,non-sngle,36,high school,121403,unemployed/unskilled,small city
female,non-sngle,20,high school,88141,unemployed/unskilled,small city
Male,single,40,high school,134946,management/highly qualified employee,big city
female,non-sngle,32,high school,94058,unemployed/unskilled,small city
female,non-sngle,23,high school,99285,skilled employee/official,mid-sized city
Male,single,36,high school,108432,unemployed/unskilled,small city
Male,single,31,other/unknown,111369,skilled employee/official,small city
Male,single,32,other/unknown,122612,skilled employee/official,big city
female,non-sngle,45,university,134350,skilled employee/official,small city
female,non-sngle,30,high school,108838,skilled employee/official,big city
female,non-sngle,34,high school,90852,unemployed/unskilled,small city
female,non-sngle,28,high school,151580,management/highly qualified employee,big city
female,non-sngle,23,high school,115681,skilled employee/official,mid-sized city
Male,single,22,other/unknown,131699,skilled employee/official,mid-sized city
Male,single,74,university,192481,management/highly qualified employee,mid-sized city
female,non-sngle,50,university,155122,skilled employee/official,big city
Male,single,33,high school,106015,skilled employee/official,big city
Male,single,45,high school,108378,skilled employee/official,small city
female,non-sngle,22,high school,105257,skilled employee/official,mid-sized city
female,non-sngle,48,university,118788,unemployed/unskilled,small city
female,non-sngle,29,high school,162955,skilled employee/official,big city
female,non-sngle,22,high school,119511,skilled employee/official,big city
female,non-sngle,22,high school,102000,skilled employee/official,small city
Male,single,48,high school,254449,management/highly qualified employee,mid-sized city
Male,single,27,other/unknown,208446,management/highly qualified employee,big city
Male,single,37,high school,124805,skilled employee/official,small city
female,non-sngle,21,high school,139379,skilled employee/official,small city
Male,non-sngle,49,university,78296,unemployed/unskilled,small city
Male,single,27,other/unknown,125598,skilled employee/official,mid-sized city
Male,single,32,other/unknown,100215,skilled employee/official,big city
Male,non-sngle,38,high school,130951,skilled employee/official,big city
female,non-sngle,22,high school,102480,skilled employee/official,big city
Male,single,65,university,136812,skilled employee/official,mid-sized city
Male,single,35,high school,106919,skilled employee/official,mid-sized city
Male,single,41,high school,131020,skilled employee/official,big city
Male,single,29,other/unknown,119429,skilled employee/official,mid-sized city
Male,single,36,high school,154521,skilled employee/official,mid-sized city
Male,single,64,university,117842,unemployed/unskilled,small city
female,non-sngle,28,high school,124566,skilled employee/official,big city
Male,single,44,high school,110009,skilled employee/official,big city
Male,single,23,other/unknown,101210,skilled employee/official,mid-sized city
female,non-sngle,19,high school,101258,skilled employee/official,small city
female,non-sngle,25,high school,79045,unemployed/unskilled,small city
Male,single,47,high school,110866,skilled employee/official,small city
female,non-sngle,28,high school,129640,skilled employee/official,big city
Male,single,21,other/unknown,227021,skilled employee/official,mid-sized city
female,non-sngle,34,high school,108549,skilled employee/official,mid-sized city
Male,single,26,other/unknown,122693,skilled employee/official,small city
female,non-sngle,27,high school,35832,unemployed/unskilled,small city
Male,single,38,high school,81870,unemployed/unskilled,small city
Male,single,40,high school,179790,management/highly qualified employee,big city
Male,non-sngle,33,high school,107158,skilled employee/official,mid-sized city
Male,non-sngle,32,high school,136638,management/highly qualified employee,mid-sized city
Male,single,27,other/unknown,158147,skilled employee/official,big city
Male,non-sngle,32,high school,132587,skilled employee/official,big city
female,non-sngle,26,high school,128140,skilled employee/official,big city
Male,single,38,high school,117405,skilled employee/official,mid-sized city
Male,single,40,high school,68475,unemployed/unskilled,small city
Male,single,50,high school,201656,management/highly qualified employee,big city
Male,single,37,high school,86967,unemployed/unskilled,small city
Male,single,45,high school,118006,skilled employee/official,mid-sized city
Male,single,42,high school,223630,management/highly qualified employee,big city
Male,single,35,high school,110442,skilled employee/official,small city
Male,single,22,other/unknown,115691,skilled employee/official,big city
Male,single,41,high school,80232,unemployed/unskilled,small city
Male,single,37,high school,187647,skilled employee/official,mid-sized city
female,non-sngle,28,high school,138952,skilled employee/official,mid-sized city
Male,single,41,high school,162772,skilled employee/official,big city
Male,non-sngle,23,high school,111862,skilled employee/official,mid-sized city
Male,non-sngle,23,high school,90051,skilled employee/official,mid-sized city
Male,single,50,high school,121400,skilled employee/official,mid-sized city
Male,single,35,high school,137000,management/highly qualified employee,big city
female,non-sngle,50,university,105031,unemployed/unskilled,small city
Male,single,27,other/unknown,172153,management/highly qualified employee,big city
Male,single,34,high school,170184,skilled employee/official,mid-sized city
female,non-sngle,27,high school,123279,skilled employee/official,mid-sized city
Male,single,43,high school,140795,skilled employee/official,small city
Male,single,47,high school,144456,skilled employee/official,small city
Male,single,27,other/unknown,104773,unemployed/unskilled,small city
Male,single,31,other/unknown,153353,skilled employee/official,mid-sized city
Male,single,42,high school,223018,management/highly qualified employee,mid-sized city
Male,non-sngle,24,high school,129177,skilled employee/official,big city
Male,single,41,high school,114475,unemployed/unskilled,mid-sized city
female,non-sngle,26,high school,161323,management/highly qualified employee,mid-sized city
Male,single,33,high school,135765,skilled employee/official,big city
Male,non-sngle,24,high school,158421,skilled employee/official,small city
Male,single,64,university,103941,unemployed/unskilled,small city
female,non-sngle,26,high school,101783,skilled employee/official,big city
female,non-sngle,56,university,126531,skilled employee/official,mid-sized city
Male,single,37,high school,111394,skilled employee/official,mid-sized city
Male,non-sngle,33,high school,103577,skilled employee/official,big city
Male,non-sngle,47,university,149545,skilled employee/official,mid-sized city
Male,single,31,other/unknown,171857,unemployed/unskilled,small city
Male,single,34,high school,149782,skilled employee/official,mid-sized city
Male,single,27,other/unknown,112470,skilled employee/official,mid-sized city
Male,single,30,other/unknown,133907,skilled employee/official,big city
Male,single,35,high school,127849,skilled employee/official,mid-sized city
Male,single,31,other/unknown,160279,skilled employee/official,big city
Male,non-sngle,25,high school,92366,skilled employee/official,big city
female,non-sngle,25,high school,104794,unemployed/unskilled,small city
Male,single,29,other/unknown,133436,skilled employee/official,mid-sized city
Male,single,44,high school,110374,unemployed/unskilled,small city
Male,single,28,other/unknown,104263,skilled employee/official,mid-sized city
Male,single,50,high school,138752,skilled employee/official,small city
Male,single,29,other/unknown,102723,skilled employee/official,small city
female,non-sngle,38,high school,46297,unemployed/unskilled,small city
Male,single,24,other/unknown,96425,skilled employee/official,mid-sized city
Male,single,40,high school,158197,management/highly qualified employee,mid-sized city
female,non-sngle,29,high school,98008,unemployed/unskilled,small city
Male,single,46,high school,157473,skilled employee/official,small city
female,non-sngle,47,university,149306,skilled employee/official,small city
Male,single,41,high school,139236,skilled employee/official,mid-sized city
female,non-sngle,32,high school,125890,skilled employee/official,big city
female,non-sngle,35,high school,173124,skilled employee/official,mid-sized city
Male,single,24,other/unknown,164621,skilled employee/official,mid-sized city
female,non-sngle,25,high school,124539,skilled employee/official,mid-sized city
female,non-sngle,25,high school,107614,skilled employee/official,mid-sized city
Male,single,37,high school,88849,unemployed/unskilled,small city
Male,single,32,other/unknown,148566,management/highly qualified employee,big city
female,non-sngle,35,high school,106515,skilled employee/official,big city
Male,single,46,high school,150465,management/highly qualified employee,mid-sized city
Male,single,25,other/unknown,60868,unemployed/unskilled,small city
Male,single,27,other/unknown,255198,management/highly qualified employee,big city
Male,single,63,university,183178,skilled employee/official,mid-sized city
Male,single,40,high school,121448,skilled employee/official,big city
Male,single,32,other/unknown,129975,management/highly qualified employee,big city
Male,single,31,other/unknown,132950,skilled employee/official,big city
Male,non-sngle,31,high school,169314,skilled employee/official,mid-sized city
Male,single,34,high school,147958,management/highly qualified employee,mid-sized city
female,non-sngle,24,high school,139896,skilled employee/official,big city
female,non-sngle,24,high school,68028,unemployed/unskilled,small city
female,non-sngle,66,graduate school,133328,unemployed/unskilled,small city
female,non-sngle,21,high school,108518,skilled employee/official,big city
female,non-sngle,41,university,112700,unemployed/unskilled,small city
Male,non-sngle,47,university,110190,unemployed/unskilled,small city
female,non-sngle,25,high school,105104,skilled employee/official,mid-sized city
female,non-sngle,59,university,184753,skilled employee/official,mid-sized city
Male,non-sngle,36,high school,162521,skilled employee/official,big city
Male,single,33,high school,156794,skilled employee/official,mid-sized city
Male,single,21,other/unknown,65827,unemployed/unskilled,small city
female,non-sngle,44,university,88490,unemployed/unskilled,small city
female,non-sngle,28,high school,154919,skilled employee/official,big city
female,non-sngle,37,high school,129058,skilled employee/official,small city
female,non-sngle,29,high school,77532,unemployed/unskilled,small city
female,non-sngle,23,high school,235417,management/highly qualified employee,big city
Male,single,35,high school,113468,unemployed/unskilled,small city
Male,single,45,high school,190803,management/highly qualified employee,big city
female,non-sngle,26,high school,121423,unemployed/unskilled,small city
Male,single,32,other/unknown,121347,skilled employee/official,mid-sized city
Male,single,23,other/unknown,67408,unemployed/unskilled,small city
Male,single,41,high school,123043,skilled employee/official,mid-sized city
Male,single,22,other/unknown,128387,skilled employee/official,big city
Male,single,30,other/unknown,250050,management/highly qualified employee,mid-sized city
Male,single,28,other/unknown,69588,unemployed/unskilled,small city
female,non-sngle,23,high school,109547,skilled employee/official,mid-sized city
female,non-sngle,37,high school,78840,unemployed/unskilled,small city
Male,single,26,other/unknown,131122,skilled employee/official,small city
Male,single,33,high school,115403,skilled employee/official,mid-sized city
female,non-sngle,49,university,110291,skilled employee/official,big city
female,non-sngle,23,high school,64811,unemployed/unskilled,small city
female,non-sngle,23,high school,86015,unemployed/unskilled,small city
female,non-sngle,25,high school,142438,skilled employee/official,big city
Male,single,55,high school,159303,skilled employee/official,mid-sized city
female,non-sngle,32,high school,104957,skilled employee/official,mid-sized city
Male,single,74,university,89502,unemployed/unskilled,small city
Male,single,39,high school,121313,skilled employee/official,mid-sized city
Male,single,31,other/unknown,98102,skilled employee/official,small city
Male,single,35,high school,94554,skilled employee/official,mid-sized city
female,non-sngle,59,university,162591,skilled employee/official,mid-sized city
female,non-sngle,24,high school,106629,skilled employee/official,big city
Male,single,24,other/unknown,70400,unemployed/unskilled,small city
Male,single,30,other/unknown,235660,management/highly qualified employee,big city
Male,non-sngle,27,high school,121747,skilled employee/official,big city
Male,non-sngle,40,high school,85060,unemployed/unskilled,small city
Male,non-sngle,31,high school,87630,unemployed/unskilled,small city
female,non-sngle,31,high school,119673,skilled employee/official,small city
Male,single,28,other/unknown,126060,skilled employee/official,big city
Male,single,63,university,96145,unemployed/unskilled,small city
female,non-sngle,26,high school,114830,skilled employee/official,small city
female,non-sngle,25,high school,194461,management/highly qualified employee,big city
Male,single,36,high school,150158,management/highly qualified employee,big city
Male,single,52,high school,136323,skilled employee/official,big city
Male,single,66,university,111858,unemployed/unskilled,small city
female,non-sngle,25,high school,100198,skilled employee/official,small city
Male,single,37,high school,123452,skilled employee/official,big city
female,non-sngle,25,high school,120723,skilled employee/official,mid-sized city
Male,single,38,high school,215639,management/highly qualified employee,mid-sized city
female,non-sngle,67,graduate school,166712,skilled employee/official,mid-sized city
Male,single,25,other/unknown,136300,skilled employee/official,mid-sized city
Male,single,60,university,166988,skilled employee/official,big city
Male,single,31,other/unknown,77265,unemployed/unskilled,small city
female,non-sngle,23,high school,85967,unemployed/unskilled,small city
Male,non-sngle,60,university,212020,management/highly qualified employee,small city
Male,single,35,high school,126054,unemployed/unskilled,small city
Male,single,40,high school,144589,skilled employee/official,small city
Male,single,38,high school,116723,skilled employee/official,mid-sized city
Male,single,50,high school,168637,skilled employee/official,mid-sized city
Male,single,27,other/unknown,139119,skilled employee/official,mid-sized city
female,non-sngle,39,university,118610,skilled employee/official,big city
Male,single,41,high school,183312,management/highly qualified employee,big city
Male,non-sngle,27,high school,96323,skilled employee/official,small city
Male,non-sngle,51,university,149510,skilled employee/official,big city
Male,single,32,other/unknown,141922,skilled employee/official,big city
female,non-sngle,22,high school,120233,skilled employee/official,small city
Male,single,51,high school,172790,skilled employee/official,mid-sized city
female,non-sngle,22,high school,66720,unemployed/unskilled,small city
Male,non-sngle,54,university,113024,skilled employee/official,mid-sized city
Male,single,35,high school,51791,unemployed/unskilled,small city
Male,single,54,high school,118408,skilled employee/official,big city
female,non-sngle,48,university,101616,unemployed/unskilled,small city
female,non-sngle,24,high school,127250,skilled employee/official,small city
Male,single,35,high school,97290,skilled employee/official,small city
female,non-sngle,24,high school,106970,unemployed/unskilled,small city
Male,single,24,other/unknown,168147,skilled employee/official,big city
Male,non-sngle,26,high school,68468,unemployed/unskilled,small city
Male,single,65,university,120780,skilled employee/official,big city
Male,single,55,high school,231992,management/highly qualified employee,big city
female,non-sngle,26,high school,53903,unemployed/unskilled,small city
Male,non-sngle,26,high school,101511,skilled employee/official,big city
Male,non-sngle,28,high school,69046,unemployed/unskilled,small city
Male,single,24,other/unknown,171584,skilled employee/official,mid-sized city
Male,single,54,high school,132367,skilled employee/official,big city
Male,single,46,high school,134433,skilled employee/official,big city
female,non-sngle,54,university,190518,skilled employee/official,small city
Male,non-sngle,62,university,152367,skilled employee/official,mid-sized city
female,non-sngle,24,high school,101157,skilled employee/official,mid-sized city
Male,non-sngle,43,university,279593,management/highly qualified employee,big city
Male,non-sngle,26,high school,96716,skilled employee/official,big city
Male,non-sngle,27,high school,95171,skilled employee/official,small city
Male,non-sngle,24,high school,129162,skilled employee/official,big city
Male,single,41,high school,118742,skilled employee/official,small city
Male,single,47,high school,74511,unemployed/unskilled,small city
Male,non-sngle,35,high school,157272,management/highly qualified employee,mid-sized city
Male,non-sngle,30,high school,102374,skilled employee/official,small city
female,non-sngle,33,high school,131492,skilled employee/official,small city
Male,single,36,high school,128702,skilled employee/official,big city
Male,single,47,high school,177509,skilled employee/official,big city
Male,single,38,high school,163451,skilled employee/official,mid-sized city
Male,single,44,high school,144900,skilled employee/official,mid-sized city
female,non-sngle,23,high school,97115,skilled employee/official,big city
Male,single,29,other/unknown,196568,skilled employee/official,big city
female,non-sngle,42,university,158405,skilled employee/official,small city
female,non-sngle,25,high school,97376,unemployed/unskilled,small city
Male,single,48,high school,108678,skilled employee/official,mid-sized city
female,non-sngle,21,high school,92351,skilled employee/official,small city
female,non-sngle,23,high school,61211,unemployed/unskilled,small city
Male,single,63,university,138644,skilled employee/official,small city
Male,non-sngle,46,university,124824,skilled employee/official,big city
Male,single,29,other/unknown,132852,skilled employee/official,small city
Male,single,28,other/unknown,81069,unemployed/unskilled,small city
female,non-sngle,23,high school,104094,skilled employee/official,big city
Male,single,50,high school,114853,skilled employee/official,small city
Male,single,47,high school,130344,skilled employee/official,big city
Male,single,35,high school,135090,skilled employee/official,small city
Male,single,68,university,179151,skilled employee/official,big city
Male,non-sngle,28,high school,97390,skilled employee/official,mid-sized city
Male,single,59,university,120160,skilled employee/official,small city
Male,single,57,university,82277,unemployed/unskilled,small city
Male,non-sngle,33,high school,110844,skilled employee/official,big city
Male,single,43,high school,133105,skilled employee/official,small city
Male,single,35,high school,102042,skilled employee/official,small city
Male,single,32,other/unknown,69370,unemployed/unskilled,small city
Male,single,45,high school,200298,skilled employee/official,mid-sized city
Male,non-sngle,33,high school,117039,skilled employee/official,big city
female,non-sngle,40,university,107585,skilled employee/official,big city
Male,single,28,other/unknown,114429,skilled employee/official,small city
female,non-sngle,29,high school,128234,skilled employee/official,big city
Male,single,26,other/unknown,128580,skilled employee/official,big city
Male,single,27,other/unknown,177757,skilled employee/official,mid-sized city
Male,non-sngle,28,high school,106222,skilled employee/official,small city
female,non-sngle,35,high school,118428,skilled employee/official,big city
Male,single,32,other/unknown,139477,unemployed/unskilled,small city
Male,single,25,other/unknown,71159,unemployed/unskilled,small city
female,non-sngle,20,high school,131370,skilled employee/official,big city
female,non-sngle,27,high school,111567,skilled employee/official,big city
Male,single,42,high school,125482,skilled employee/official,big city
Male,single,37,high school,160642,skilled employee/official,big city
female,non-sngle,24,high school,92498,skilled employee/official,small city
female,non-sngle,40,university,199711,skilled employee/official,big city
Male,single,46,high school,127588,skilled employee/official,big city
Male,single,26,other/unknown,107508,skilled employee/official,big city
female,non-sngle,24,high school,94629,skilled employee/official,big city
Male,single,29,other/unknown,87598,unemployed/unskilled,big city
female,non-sngle,40,university,161194,skilled employee/official,mid-sized city
Male,single,36,high school,137342,management/highly qualified employee,big city
Male,single,28,other/unknown,116848,skilled employee/official,mid-sized city
Male,single,27,other/unknown,125190,management/highly qualified employee,mid-sized city
Male,single,36,high school,153441,skilled employee/official,small city
Male,single,38,high school,195328,management/highly qualified employee,big city
Male,non-sngle,48,university,190413,skilled employee/official,small city
Male,single,36,high school,118656,skilled employee/official,mid-sized city
female,non-sngle,65,graduate school,69487,unemployed/unskilled,small city
Male,non-sngle,43,university,145313,skilled employee/official,mid-sized city
female,non-sngle,53,university,117005,skilled employee/official,mid-sized city
Male,single,34,high school,123243,skilled employee/official,mid-sized city
Male,single,23,other/unknown,237799,skilled employee/official,mid-sized city
Male,single,34,high school,180617,management/highly qualified employee,big city
Male,single,40,high school,167019,skilled employee/official,small city
Male,single,43,high school,147745,management/highly qualified employee,big city
Male,single,46,high school,114254,skilled employee/official,mid-sized city
Male,single,38,high school,81155,unemployed/unskilled,small city
Male,single,34,high school,151803,skilled employee/official,big city
Male,single,29,other/unknown,94356,skilled employee/official,big city
Male,single,31,other/unknown,200621,management/highly qualified employee,big city
female,non-sngle,28,high school,144448,management/highly qualified employee,mid-sized city
female,non-sngle,35,high school,150797,skilled employee/official,small city
female,non-sngle,33,high school,84404,unemployed/unskilled,small city
Male,single,42,high school,133373,skilled employee/official,big city
Male,single,43,high school,119502,skilled employee/official,big city
Male,non-sngle,44,university,131619,skilled employee/official,small city
Male,single,42,high school,194084,skilled employee/official,big city
Male,non-sngle,40,high school,108278,skilled employee/official,mid-sized city
Male,single,36,high school,130987,management/highly qualified employee,mid-sized city
Male,single,20,other/unknown,116582,management/highly qualified employee,big city
Male,single,24,other/unknown,85270,unemployed/unskilled,small city
Male,non-sngle,27,high school,129227,skilled employee/official,small city
female,non-sngle,46,university,108291,unemployed/unskilled,small city
female,non-sngle,33,high school,103091,unemployed/unskilled,small city
female,non-sngle,34,high school,136975,skilled employee/official,mid-sized city
female,non-sngle,25,high school,111502,unemployed/unskilled,small city
female,non-sngle,25,high school,124750,skilled employee/official,mid-sized city
Male,non-sngle,28,high school,146463,skilled employee/official,big city
Male,single,31,other/unknown,115075,skilled employee/official,small city
female,non-sngle,32,high school,308491,management/highly qualified employee,mid-sized city
Male,single,32,other/unknown,126368,skilled employee/official,small city
Male,single,68,university,287247,management/highly qualified employee,big city
Male,non-sngle,33,high school,125535,skilled employee/official,big city
Male,single,39,high school,153223,management/highly qualified employee,big city
female,non-sngle,28,high school,106873,skilled employee/official,mid-sized city
Male,single,37,high school,268906,management/highly qualified employee,mid-sized city
female,non-sngle,22,high school,97757,skilled employee/official,big city
Male,single,30,other/unknown,112151,skilled employee/official,mid-sized city
Male,non-sngle,55,university,172909,skilled employee/official,small city
Male,single,46,high school,103387,skilled employee/official,mid-sized city
female,non-sngle,21,high school,93916,skilled employee/official,big city
Male,single,39,high school,189963,skilled employee/official,big city
Male,single,58,university,124191,skilled employee/official,small city
Male,single,43,high school,77205,unemployed/unskilled,small city
Male,single,24,other/unknown,65917,unemployed/unskilled,small city
female,non-sngle,22,high school,109676,skilled employee/official,small city
Male,single,30,other/unknown,95682,skilled employee/official,big city
Male,single,42,high school,125516,skilled employee/official,big city
female,non-sngle,23,high school,99822,skilled employee/official,small city
Male,single,30,other/unknown,154854,management/highly qualified employee,mid-sized city
female,non-sngle,28,high school,84582,unemployed/unskilled,small city
Male,non-sngle,30,high school,145800,management/highly qualified employee,small city
Male,single,42,high school,162869,skilled employee/official,mid-sized city
Male,single,46,high school,192379,management/highly qualified employee,big city
Male,single,45,high school,159757,management/highly qualified employee,big city
Male,single,31,other/unknown,69571,unemployed/unskilled,small city
Male,single,31,other/unknown,93648,skilled employee/official,big city
Male,single,42,high school,77472,unemployed/unskilled,small city
female,non-sngle,46,university,121501,skilled employee/official,small city
female,non-sngle,30,high school,207262,skilled employee/official,small city
Male,single,30,other/unknown,143082,skilled employee/official,big city
Male,single,38,high school,147760,management/highly qualified employee,mid-sized city
Male,non-sngle,43,university,82082,unemployed/unskilled,small city
Male,single,31,other/unknown,132991,skilled employee/official,mid-sized city
Male,non-sngle,40,high school,78436,unemployed/unskilled,small city
Male,single,24,other/unknown,99737,skilled employee/official,big city
female,non-sngle,28,high school,164915,skilled employee/official,small city
female,non-sngle,26,high school,223185,management/highly qualified employee,mid-sized city
female,non-sngle,29,high school,108400,skilled employee/official,big city
female,non-sngle,57,university,194882,management/highly qualified employee,mid-sized city
Male,single,49,high school,122186,unemployed/unskilled,small city
Male,single,37,high school,79594,unemployed/unskilled,small city
Male,single,45,high school,104355,unemployed/unskilled,small city
Male,single,30,other/unknown,135894,skilled employee/official,big city
Male,non-sngle,30,high school,103699,skilled employee/official,mid-sized city
Male,non-sngle,47,university,132145,skilled employee/official,mid-sized city
Male,single,29,other/unknown,117272,skilled employee/official,big city
Male,single,35,high school,137932,skilled employee/official,small city
Male,non-sngle,22,high school,63972,unemployed/unskilled,small city
female,non-sngle,26,high school,113299,skilled employee/official,big city
Male,single,23,other/unknown,108540,unemployed/unskilled,small city
female,non-sngle,54,university,174424,management/highly qualified employee,big city
Male,non-sngle,29,high school,154991,skilled employee/official,big city
Male,single,40,high school,99723,unemployed/unskilled,small city
Male,single,22,other/unknown,114584,skilled employee/official,big city
Male,single,43,high school,135275,unemployed/unskilled,small city
female,non-sngle,29,high school,41680,unemployed/unskilled,small city
Male,single,36,high school,158769,skilled employee/official,mid-sized city
female,non-sngle,33,high school,120596,skilled employee/official,small city
female,non-sngle,57,university,139641,unemployed/unskilled,small city
female,non-sngle,64,graduate school,134377,skilled employee/official,small city
Male,single,42,high school,125804,skilled employee/official,big city
Male,single,47,high school,91858,unemployed/unskilled,small city
Male,non-sngle,25,high school,117641,skilled employee/official,big city
Male,single,49,high school,188594,skilled employee/official,mid-sized city
Male,single,33,high school,162827,management/highly qualified employee,big city
female,non-sngle,28,high school,178991,management/highly qualified employee,big city
Male,single,26,other/unknown,159739,skilled employee/official,mid-sized city
Male,single,30,other/unknown,73401,unemployed/unskilled,small city
female,non-sngle,25,high school,100794,skilled employee/official,big city
Male,non-sngle,33,high school,167763,skilled employee/official,mid-sized city
female,non-sngle,64,graduate school,145174,skilled employee/official,small city
Male,single,29,other/unknown,176292,management/highly qualified employee,mid-sized city
Male,single,48,high school,94024,unemployed/unskilled,small city
Male,single,37,high school,93740,unemployed/unskilled,small city
Male,single,34,high school,85685,unemployed/unskilled,small city
Male,non-sngle,23,high school,69997,unemployed/unskilled,small city
Male,single,30,other/unknown,151938,management/highly qualified employee,big city
Male,single,50,high school,122830,skilled employee/official,mid-sized city
female,non-sngle,31,high school,78489,unemployed/unskilled,small city
Male,non-sngle,40,high school,161999,management/highly qualified employee,mid-sized city
Male,single,38,high school,98032,skilled employee/official,big city
